Timestamp,Your name (as shown in CoCalc),First choice of topic,Second choice of topic
,,,
2/26/2018 22:09:21,,Numerical solution of ODEs,Model selection for machine learning
2/27/2018 19:16:49,,Fourier transforms,Model selection for machine learning
2/28/2018 1:19:02,,Model selection for machine learning,Linear feedback shift registers
3/2/2018 14:36:09,,Numerical solution of ODEs,Numerical solution of ODEs
,,,
2/26/2018 22:19:05,,Fourier transforms,Combinatorial designs
2/26/2018 22:27:05,,Combinatorial designs,Permutation groups
2/26/2018 17:54:05,,Model selection for machine learning,Model selection for machine learning
,,,
2/26/2018 22:16:24,,Combinatorial designs,Model selection for machine learning
2/28/2018 13:14:05,,Permutation groups,Numerical solution of ODEs
2/27/2018 15:58:05,,Numerical solution of ODEs,Permutation groups
3/2/2018 14:04:46,,Numerical solution of ODEs,Linear feedback shift registers
2/27/2018 0:43:47,,Model selection for machine learning,Numerical solution of ODEs
2/28/2018 13:54:52,,Model selection for machine learning,Combinatorial designs
3/2/2018 13:59:34,,Model selection for machine learning,Fourier transforms
2/26/2018 22:12:08,,Combinatorial designs,Permutation groups
2/28/2018 14:33:09,,Model selection for machine learning,Combinatorial designs
2/26/2018 4:38:53,,Numerical solution of ODEs,Model selection for machine learning
,,,
2/28/2018 14:06:51,,Numerical solution of ODEs,Combinatorial designs
2/26/2018 22:33:31,,Permutation groups,Numerical solution of ODEs
,,,
2/26/2018 22:27:15,,Model selection for machine learning,Permutation groups
2/27/2018 0:05:42,,Numerical solution of ODEs,Model selection for machine learning
2/26/2018 5:12:25,,Permutation groups,Fourier transforms
2/26/2018 5:49:45,,Model selection for machine learning,Linear feedback shift registers
2/28/2018 14:04:52,,Numerical solution of ODEs,Fourier transforms
2/28/2018 14:05:19,,Fourier transforms,Combinatorial designs
2/28/2018 22:00:01,,Numerical solution of ODEs,Fourier transforms
2/28/2018 13:50:49,,Permutation groups,Combinatorial designs
2/28/2018 0:20:44,,Model selection for machine learning,Fourier transforms
2/28/2018 1:05:42,,Combinatorial designs,Permutation groups
3/1/2018 0:57:09,,Permutation groups,Combinatorial designs
2/28/2018 14:17:23,,Model selection for machine learning,Fourier transforms
2/26/2018 22:14:42,,Permutation groups,Fourier transforms
2/26/2018 22:11:09,,Model selection for machine learning,Combinatorial designs
2/27/2018 20:36:35,,Numerical solution of ODEs,Fourier transforms
2/26/2018 22:23:38,,Combinatorial designs,Numerical solution of ODEs
2/28/2018 13:15:13,,Numerical solution of ODEs,Combinatorial designs
2/26/2018 22:46:27,,Fourier transforms,Combinatorial designs
2/27/2018 19:20:11,,Combinatorial designs,Permutation groups
2/28/2018 14:39:47,,Model selection for machine learning,Combinatorial designs
2/26/2018 19:25:58,,Combinatorial designs,Permutation groups
2/28/2018 12:43:00,,Numerical solution of ODEs,Linear feedback shift registers
2/28/2018 22:49:05,,Model selection for machine learning,Numerical solution of ODEs
,,,
2/27/2018 0:14:29,,Permutation groups,Combinatorial designs
2/28/2018 17:32:32,,Permutation groups,Model selection for machine learning
2/26/2018 22:08:36,,Permutation groups,Combinatorial designs
